,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
355,31,0.08129620796535164,50.0,1644.0,50,0.6,300
356,32,0.08310175000224262,50.0,1695.0,50,0.6,300
357,33,0.08491999993566424,50.0,1746.0,50,0.6,300
358,34,0.086748042027466,50.0,1797.0,50,0.6,300
359,35,0.08856116700917482,50.0,1848.0,50,0.6,300
360,36,0.09035641700029373,50.0,1899.0,50,0.6,300
361,37,0.09216258302330971,50.0,1950.0,50,0.6,300
362,38,0.09397787495981902,50.0,2001.0,50,0.6,300
363,39,0.09578866697847843,50.0,2052.0,50,0.6,300
364,40,0.09759520797524601,50.0,2103.0,50,0.6,300
365,41,0.0993896669242531,50.0,2154.0,50,0.6,300
366,42,0.10121245798654854,50.0,2205.0,50,0.6,300
367,43,0.10301424993667752,50.0,2256.0,50,0.6,300
368,44,0.10481699998490512,50.0,2307.0,50,0.6,300
369,45,0.10663404199294746,50.0,2358.0,50,0.6,300
370,46,0.10845354199409485,50.0,2409.0,50,0.6,300
371,47,0.11028066696599126,50.0,2460.0,50,0.6,300
372,48,0.11209662503097206,50.0,2511.0,50,0.6,300
373,49,0.11388720793183893,50.0,2562.0,50,0.6,300
374,50,0.11566891695838422,50.0,2613.0,50,0.6,300
375,51,0.11747016699519008,50.0,2664.0,50,0.6,300
376,52,0.1192858750000596,50.0,2715.0,50,0.6,300
377,53,0.12234720797277987,50.0,2766.0,50,0.6,300
378,54,0.12423066701740026,50.0,2817.0,50,0.6,300
379,55,0.1260776249691844,50.0,2868.0,50,0.6,300
380,56,0.12930629192851484,50.0,2919.0,50,0.6,300
381,57,0.1320824580034241,50.0,2970.0,50,0.6,300
382,58,0.1351858749985695,50.0,3021.0,50,0.6,300
383,59,0.13746162492316216,50.0,3072.0,50,0.6,300
384,60,0.1393694169819355,50.0,3123.0,50,0.6,300
385,61,0.1412612919230014,50.0,3174.0,50,0.6,300
386,62,0.14311216701753438,50.0,3225.0,50,0.6,300
387,63,0.14571758301462978,50.0,3276.0,50,0.6,300
